Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
extreme-sport,EXTREME SPORT,"",MIKOŁAJ ROSZAK,EXTREME SPORT,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/EXTREMESPORT.jpg?v=1595078996,1,,false,,,,,,,,,,,,,,,,,kg,,
engineering,ENGINEERING,"",MIKOŁAJ ROSZAK,ENGINEERING,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/ENGINEERING.jpg?v=1595078976,1,,false,,,,,,,,,,,,,,,,,kg,,
design-porototype,DESIGN POROTOTYPE,"",MIKOŁAJ ROSZAK,DESIGN POROTOTYPE,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/DESIGNPOROTOTYPE.jpg?v=1595078953,1,,false,,,,,,,,,,,,,,,,,kg,,
dedicated-projects,DEDICATED PROJECTS,"",MIKOŁAJ ROSZAK,DEDICATED PROJECTS,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/DEDICATEDPROJECTS.jpg?v=1595078929,1,,false,,,,,,,,,,,,,,,,,kg,,
cryptocurrency,CRYPTOCURRENCY,"",MIKOŁAJ ROSZAK,CRYPTOCURRENCY,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/CRYPTOCURRENCY.jpg?v=1595078906,1,,false,,,,,,,,,,,,,,,,,kg,,
contract-work,CONTRACT WORK,"",MIKOŁAJ ROSZAK,CONTRACT WORK,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/CONTRACTWORK.jpg?v=1595078884,1,,false,,,,,,,,,,,,,,,,,kg,,
comics,COMICS,"",MIKOŁAJ ROSZAK,COMICS,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/COMICS.jpg?v=1595078858,1,,false,,,,,,,,,,,,,,,,,kg,,
clothes,CLOTHES,"",MIKOŁAJ ROSZAK,CLOTHES,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/CLOTHES.jpg?v=1595078835,1,,false,,,,,,,,,,,,,,,,,kg,,
cash-registers,CASH REGISTERS,"",MIKOŁAJ ROSZAK,CASH REGISTERS,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/CASHREGISTERS.jpg?v=1595078812,1,,false,,,,,,,,,,,,,,,,,kg,,
bookkeeping,BOOKKEEPING,"",MIKOŁAJ ROSZAK,BOOKKEEPING,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/BOOKKEEPING.jpg?v=1595078783,1,,false,,,,,,,,,,,,,,,,,kg,,
bikes,BIKES,"",MIKOŁAJ ROSZAK,BIKES,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/BIKES.jpg?v=1595078760,1,,false,,,,,,,,,,,,,,,,,kg,,
art,ART,"",MIKOŁAJ ROSZAK,ART,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/ART.jpg?v=1595078738,1,,false,,,,,,,,,,,,,,,,,kg,,
architecture,ARCHITECTURE,"",MIKOŁAJ ROSZAK,ARCHITECTURE,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/ARCHITECTURE.jpg?v=1595078715,1,,false,,,,,,,,,,,,,,,,,kg,,
affiliate-programs,AFFILIATE PROGRAMS,"",MIKOŁAJ ROSZAK,AFFILIATE PROGRAMS,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/AFFILIATEPROGRAMS.jpg?v=1595078684,1,,false,,,,,,,,,,,,,,,,,kg,,
